,Samples,tign (s),PHRR (kW/m²),THR (MJ/m²),AMLR (g/s),ASEA (m²/kg),Vectors,tign (s)_err,PHRR (kW/m²)_err,THR (MJ/m²)_err,AMLR (g/s)_err,ASEA (m²/kg)_err,Ref
0,Polyurea,12.0,1854.0,160.0,44.0,452.0,['Polyurea'],4.0,65.0,7.0,5.0,18.0,j.eurpolymj.2013.06.009_5_0
1,PU + 15% TPP,7.0,1255.0,116.0,29.0,525.0,"['PU', '(0.15)TPP']",1.0,63.0,19.0,11.0,36.0,j.eurpolymj.2013.06.009_5_0
2,PU + 15% TPP,18.0,637.0,169.0,15.0,632.0,"['PU', '(0.15)TPP']",3.0,149.0,23.0,1.0,11.0,j.eurpolymj.2013.06.009_5_0
3,PU + 15% TPPO,16.0,1324.0,130.0,24.0,999.0,"['PU', '(0.15)TPPO']",1.0,23.0,9.0,3.0,31.0,j.eurpolymj.2013.06.009_5_0
4,Epoxy resin,29.0,2467.0,164.0,47.0,753.0,['EP'],3.0,150.0,9.0,2.0,34.0,j.eurpolymj.2013.06.009_5_0
5,EP + 15% TPP,21.0,504.0,114.0,18.0,783.0,"['EP', '(0.15)TPP']",1.0,128.0,5.0,9.0,163.0,j.eurpolymj.2013.06.009_5_0
6,EP + 15% TPP,12.0,1959.0,128.0,52.0,971.0,"['EP', '(0.15)TPP']",2.0,101.0,1.0,1.0,111.0,j.eurpolymj.2013.06.009_5_0
7,EP + 15% TPPO,34.0,1310.0,126.0,40.0,845.0,"['EP', '(0.15)TPPO']",1.0,63.0,2.0,5.0,85.0,j.eurpolymj.2013.06.009_5_0
