,Samples,Tg (°C),G' (MPa),Ts(MPa),Eb(%),Tensile modulus (MPa),Vectors,G' (MPa)_err,Ts(MPa)_err,Eb(%)_err,Tensile modulus (MPa)_err,Ref
0,EP,210.0,1833.0,44.0,4.2,1326.0,['EP'],49.0,4.0,0.8,57.0,j.cej.2019.122046_12_0
1,EP/6LDH-CD-Ferr,210.0,2105.0,45.0,3.5,1619.0,"['EP', '(6)LDH-CD-Ferr']",60.0,4.0,0.6,68.0,j.cej.2019.122046_12_0
2,EP/6LDH-CD + Ferr,210.0,2071.0,38.0,3.4,1462.0,"['EP', '(6)LDH-CD+Ferr']",52.0,3.0,0.5,54.0,j.cej.2019.122046_12_0
3,EP/6LDH-CD,210.0,2064.0,36.0,3.4,1575.0,"['EP', '(6)LDH-CD']",56.0,3.0,0.3,62.0,j.cej.2019.122046_12_0
