,Samples,Activation energy (kJ/mol),Vectors,Ref
0,DGEBA-DDM,48.4,"['DGEBA', 'DDM']",j.eurpolymj.2016.07.014_8_0
1,25% DOL-DDM,48.3,"['(0.25)DOL', 'DDM']",j.eurpolymj.2016.07.014_8_0
2,50% DOL-DDM,51.9,"['(0.5)DOL', 'DDM']",j.eurpolymj.2016.07.014_8_0
3,75% DOL-DDM,50.8,"['(0.75)DOL', 'DDM']",j.eurpolymj.2016.07.014_8_0
4,100%DOL-DDM,52.4,"['(1.0)DOL', 'DDM']",j.eurpolymj.2016.07.014_8_0
5,25% DKL-DDM,45.1,"['(0.25)DKL', 'DDM']",j.eurpolymj.2016.07.014_8_0
6,50% DKL-DDM,50.8,"['(0.5)DKL', 'DDM']",j.eurpolymj.2016.07.014_8_0
7,75% DKL-DDM,55.5,"['(0.75)DKL', 'DDM']",j.eurpolymj.2016.07.014_8_0
8,100%DKL-DDM,42.4,"['(1.0)DKL', 'DDM']",j.eurpolymj.2016.07.014_8_0
