,Samples,Oxygen At. %,Oxygen Quinone (O- I),Oxygen Phenol (O- II),Oxygen Carboxylic (O- III),Oxygen Water(O- IV),Nitrogen At. %,Nitrogen Pyridinic-N (N- 6),Nitrogen Pyrrolic-N (N- 5),Nitrogen Quaternary-N (N- Q),Nitrogen Oxide-N (N- X),Vectors,Ref
0,P-750,5.1,31.4,29.3,30.8,8.5,3.6,34.7,11.3,35.8,18.2,['P(750)'],j.cej.2021.130047_8_0
1,P-0.5ZnCl2- 750,4.3,43.5,27.1,21.8,7.6,2.8,38.7,24.8,31.1,5.3,"['P', '(0.5)ZnCl2750']",j.cej.2021.130047_8_0
2,P-0.5ZnO-750,6.9,38.4,29.4,25.6,6.6,3.5,28.8,21.7,36.0,13.5,"['P', '(0.5)ZnO750']",j.cej.2021.130047_8_0
3,P-0.5ZnO-950,3.2,40.6,32.8,16.9,9.7,2.5,33.9,10.2,44.1,11.8,"['P', '(0.5)ZnO950']",j.cej.2021.130047_8_0
4,P-1ZnO-950,4.3,44.2,31.7,13.9,10.2,1.9,32.2,9.8,39.3,18.7,"['P', '(1)ZnO950']",j.cej.2021.130047_8_0
