,Samples,P (g/cm³ 0.01,%AL /L 0.01,Dave b (um) 0.01,Vtotal C (cm3/gr) 3 0.02,Ed 0.02 (%),Vectors,Ref
0,PA,0.06,5.0,2.01,14.31,94.31,['PA'],j.compositesb.2019.107299_4_0
1,CNT/PA 010,0.06,4.87,1.78,15.01,94.52,"['CNT', 'PA(010)']",j.compositesb.2019.107299_4_0
2,CNF/PA 010,0.06,4.98,1.9,14.76,94.4,"['CNF', 'PA(010)']",j.compositesb.2019.107299_4_0
3,CNT/PA 010/E,1.15,-,-,0.21,0.53,"['CNT', 'PA(010)', 'E']",j.compositesb.2019.107299_4_0
4,CNF/PA010/E,1.07,-,-,0.28,0.7,"['CNF', 'PA(010)', 'E']",j.compositesb.2019.107299_4_0
