,Samples,TTI (s),PHRR (kW/m²),HRR (kW/m²),Tp (s),FIGRA,THR (MJ/m²),TSP (m²),EHC (MJ/kg),CY (%),Vectors,TTI (s)_err,PHRR (kW/m²)_err,HRR (kW/m²)_err,Tp (s)_err,THR (MJ/m²)_err,TSP (m²)_err,EHC (MJ/kg)_err,CY (%)_err,Ref
0,Neat EP,62.0,1075.0,262.0,135.0,8.0,106.0,51.6,21.1,5.0,['EP'],2.0,35.0,14.0,5.0,5.0,4.5,0.1,2.0,j.compositesb.2019.107189_7_0
1,EP/28%APP,62.0,558.0,163.0,135.0,4.1,68.0,27.6,24.8,38.0,"['EP', '(0.28)APP']",1.0,26.0,19.0,10.0,8.0,3.1,0.3,2.0,j.compositesb.2019.107189_7_0
2,EP/28%APP/2%GNS,59.0,567.0,112.0,105.0,5.4,46.0,27.8,16.9,40.0,"['EP', '(0.28)APP', '(0.02)GNS']",3.0,23.0,15.0,10.0,7.0,2.1,0.2,3.0,j.compositesb.2019.107189_7_0
3,EP/28%APP/2%Cu2+ -GO,56.0,355.0,133.0,110.0,3.2,60.0,26.1,22.7,43.0,"['EP', '(0.28)APP', '(0.02)Cu2+-GO']",4.0,32.0,13.0,10.0,3.0,1.5,0.4,2.0,j.compositesb.2019.107189_7_0
4,EP/28%APP/2%Cu-rGO,55.0,418.0,128.0,115.0,3.6,56.0,25.7,17.2,41.0,"['EP', '(0.28)APP', '(0.02)Cu-rGO']",3.0,40.0,15.0,10.0,3.0,1.5,0.3,4.0,j.compositesb.2019.107189_7_0
5,EP/28%APP/2%CuO-GNS,59.0,380.0,133.0,130.0,2.9,55.0,23.0,26.2,41.0,"['EP', '(0.28)APP', '(0.02)CuO-GNS']",3.0,22.0,12.0,10.0,4.0,1.4,0.5,1.0,j.compositesb.2019.107189_7_0
