,Samples,Curing agent,P content (wt%),LOI (%),UL-94,Tg (°C),CY (wt%),Ref.,Vectors,Ref
0,BPHPPO-EP,DDS,7.79,34.0,/,/,51.8,68.0,"['BPHPPO', 'EP']",j.progpolymsci.2021.101366_9_0
1,EP1,DDM,6.5,31.4,V-0,183.0,53.0,71.0,['EP1'],j.progpolymsci.2021.101366_9_0
2,EP2,DDM,7.18,32.8,V-0,214.0,58.0,71.0,['EP2'],j.progpolymsci.2021.101366_9_0
3,BEU-EP,DDM,5.18,38.4,V-0,112.0,23.4,74.0,"['BEU', 'EP']",j.progpolymsci.2021.101366_9_0
