,Samples,Cured epoxy resin (wt%),Content OPS,of flame Si,retardant (wt%) DOPO,retardant (wt%) P,Vectors,Ref
0,Pure EP,100.0,/,/,/,/,['EP'],j.polymdegradstab.2013.10.016_2_0
1,EP/DOPO/OPS,89.6,4.1,0.9,6.3,0.9,"['EP', 'DOPO', 'OPS']",j.polymdegradstab.2013.10.016_2_0
