,Samples,Heating rate °Cmin,T onset o °C,Tpeak o C,W600 (%),T10 (°C),T 20 °C,T50 (°C),Vectors,Ref
0,W/DGEBA/EFO/RAMA,10.0,319.0,356.0,17.4,286.0,320.0,361.0,"['W', 'DGEBA', 'EFO', 'RAMA']",j.polymdegradstab.2018.12.022_27_0
1,,20.0,322.0,363.0,27.8,286.0,326.0,370.0,[''],j.polymdegradstab.2018.12.022_27_0
2,,30.0,323.0,365.0,20.9,285.0,328.0,378.0,[''],j.polymdegradstab.2018.12.022_27_0
3,W/DGEBA/EHO/RAMA,10.0,321.0,354.0,20.5,296.0,323.0,362.0,"['W', 'DGEBA', 'EHO', 'RAMA']",j.polymdegradstab.2018.12.022_27_0
4,,20.0,329.0,364.0,22.9,302.0,330.0,380.0,[''],j.polymdegradstab.2018.12.022_27_0
5,,30.0,320.0,371.0,20.2,298.0,330.0,381.0,[''],j.polymdegradstab.2018.12.022_27_0
