,Samples,TTI (s),PHRR (kW/m²),Time PHRR (s),THR (MJ/m²),FGR (kW/m²s),EHC (MJ/kg),COY (kg/kg),CO₂Y (kg/kg),Residue (wt%),TSP (m²),Vectors,TTI (s)_err,PHRR (kW/m²)_err,Time PHRR (s)_err,THR (MJ/m²)_err,FGR (kW/m²s)_err,EHC (MJ/kg)_err,COY (kg/kg)_err,CO₂Y (kg/kg)_err,Residue (wt%)_err,TSP (m²)_err,Ref
0,EP,65.0,893.2,105.0,57.0,8.5,19.5,0.08,1.62,27.7,18.5,['EP'],4.0,51.3,3.0,3.2,0.7,0.5,0.02,0.07,2.2,0.6,j.polymdegradstab.2020.109078_6_0
1,EP/STZ2,62.0,794.4,105.0,49.5,7.6,18.1,0.11,1.48,32.4,16.6,"['EP', 'STZ(2)']",3.0,43.2,5.0,1.5,0.7,0.8,0.01,0.04,0.8,1.0,j.polymdegradstab.2020.109078_6_0
2,EP/STZ4,56.0,585.5,105.0,38.7,5.6,16.2,0.12,1.46,35.1,14.4,"['EP', 'STZ(4)']",5.0,27.5,5.0,2.6,0.5,0.4,0.02,0.02,0.4,0.7,j.polymdegradstab.2020.109078_6_0
3,EP/STZ6,51.0,513.8,103.0,34.8,5.3,15.5,0.14,1.41,36.7,13.3,"['EP', 'STZ(6)']",3.0,33.8,5.0,1.8,0.3,0.6,0.02,0.05,1.7,1.2,j.polymdegradstab.2020.109078_6_0
