,Samples,DGEBA (g),DDM (g),D-P-A (g),P content (wt%),UL-94,LOI (%),Vectors,LOI (%)_err,Ref
0,EP,100.0,25.0,0.0,0.0,No rating,25.1,['EP'],0.5,j.polymdegradstab.2018.01.026_3_1
1,EP/5.0% D-P-A,100.0,20.44,6.32,0.33,V-1,29.3,"['EP', '(0.05)D-P-A']",0.5,j.polymdegradstab.2018.01.026_3_1
2,EP/7.5% D-P-A,100.0,19.74,9.73,0.5,V-0,29.6,"['EP', '(0.075)D-P-A']",0.5,j.polymdegradstab.2018.01.026_3_1
3,EP/10.0% D-P-A,100.0,18.96,13.33,0.66,V-0,31.5,"['EP', '(0.1)D-P-A']",0.5,j.polymdegradstab.2018.01.026_3_1
