,Samples,T5 (wt%/°C),R1peak/T1peak (%/min) (°C),R2peak/T2peak (% min-1/°C),R3peak/T3peak (% min-1/°C),Char residues (wt%) 700 °C,Vectors,Ref
0,DGEBA/DDM,364.0,15.3,13.9,-,14.1,"['DGEBA', 'DDM']",j.polymdegradstab.2014.07.020_5_0
1,CTP-EP/DDM,290.0,6.4,6.1,1.2,39.0,"['CTP-EP', 'DDM']",j.polymdegradstab.2014.07.020_5_0
