,Samples,Rk 10 8 1,Vectors,Ref
0,CNT/PA/E,0.44,"['CNT', 'PA', 'E']",j.compositesb.2019.107299_8_0
1,CNF/PA/E,0.84,"['CNF', 'PA', 'E']",j.compositesb.2019.107299_8_0
2,CNT/E,3.6,['CNT/E'],j.compositesb.2019.107299_8_0
3,CNF/E,7.9,['CNF/E'],j.compositesb.2019.107299_8_0
