,Samples,Tonset (°C),,Ti° (°C),ΔH (J/g),Vectors,Ref
0,PSER/m-PDA,75.9,134.7,238.3,153.0,"['PSER', 'm-PDA']",j.eurpolymj.2010.04.011_5_0
1,TGCS/m-PDA,130.0,169.1,254.3,354.0,"['TGCS', 'm-PDA']",j.eurpolymj.2010.04.011_5_0
2,PSER/2E4MZ,125.6,136.4,172.7,204.0,"['PSER', '2E4MZ']",j.eurpolymj.2010.04.011_5_0
3,TGCS/2E4MZ,106.6,165.1,277.2,408.0,"['TGCS', '2E4MZ']",j.eurpolymj.2010.04.011_5_0
