,Samples,P content (wt%),LOI (%),UL-94,,Vectors,Ref
0,,,,Rating,Dripping,[''],j.polymdegradstab.2019.03.003_5_1
1,EP/DDS,0.0,22.5,No rating,Yes,"['EP', 'DDS']",j.polymdegradstab.2019.03.003_5_1
2,EP/DDS/DOPO,1.0,34.1,V-1,No,"['EP', 'DDS', 'DOPO']",j.polymdegradstab.2019.03.003_5_1
3,EP/DDS/DTA-0.25,0.25,30.1,No rating,No,"['EP', 'DDS', 'DTA(0.25)']",j.polymdegradstab.2019.03.003_5_1
4,EP/DDS/DTA-0.5,0.5,34.1,V-1,No,"['EP', 'DDS', 'DTA(0.5)']",j.polymdegradstab.2019.03.003_5_1
5,EP/DDS/DTA-0.75,0.75,36.7,V-0,No,"['EP', 'DDS', 'DTA(0.75)']",j.polymdegradstab.2019.03.003_5_1
6,EP/DDS/DTA-1.0,1.0,39.6,V-0,No,"['EP', 'DDS', 'DTA(1.0)']",j.polymdegradstab.2019.03.003_5_1
