,Samples,Specific surface area/ (m ²/g) 2,Average pore diameter/(nm),Pore volume (cm³/g),Vectors,Ref
0,D301,31.82,27.8,0.1786,['D301'],j.cej.2019.03.198_7_0
1,ED-D301,29.59,26.64,0.1631,"['ED', 'D301']",j.cej.2019.03.198_7_0
2,TE-D301,26.12,24.78,0.1437,"['TE', 'D301']",j.cej.2019.03.198_7_0
3,DT-D301,27.47,25.42,0.1511,"['DT', 'D301']",j.cej.2019.03.198_7_0
4,TP-D301,25.06,24.31,0.1385,"['TP', 'D301']",j.cej.2019.03.198_7_0
5,PH-D301,22.19,21.34,0.1118,"['PH', 'D301']",j.cej.2019.03.198_7_0
