,Samples,LOI (%),UL-94,PHRR (kW/m²),THR (MJ/m²),FPI (m²s/kW),FGR (kW/m²s),TSP (m²),PSPR (m²/s),AEHC (MJ/kg),RWB (%),Vectors,PHRR (kW/m²)_err,THR (MJ/m²)_err,FPI (m²s/kW)_err,FGR (kW/m²s)_err,TSP (m²)_err,PSPR (m²/s)_err,AEHC (MJ/kg)_err,RWB (%)_err,Ref
0,EP/BIM-10,21.5,NR,1335.0,95.0,0.03,12.4,26.5,0.348,24.2,3.9,"['EP', 'BIM(10)']",20.0,3.2,0.001,0.5,1.0,0.012,0.3,0.1,j.compositesb.2020.108601_6_0
1,EP/BICP-12,33.5,V-0,403.0,62.0,0.072,3.5,24.4,0.209,23.8,21.1,"['EP', 'BICP(12)']",10.0,1.5,0.003,0.2,0.9,0.008,0.3,0.4,j.compositesb.2020.108601_6_0
2,EP/DOPO/BICP- 7,34.2,V-0,403.0,53.4,0.097,3.1,16.7,0.168,16.0,18.9,"['EP', 'DOPO', 'BICP(7)']",12.0,1.8,0.003,0.2,0.7,0.006,0.6,0.5,j.compositesb.2020.108601_6_0
3,EP/DOPO/BICP- 11,38.3,V-0,354.0,44.8,0.101,2.6,13.1,0.125,14.6,20.8,"['EP', 'DOPO', 'BICP(11)']",17.0,1.9,0.004,0.1,0.4,0.004,0.5,0.8,j.compositesb.2020.108601_6_0
4,EP/DOPO/BICP- 15,36.1,V-0,389.0,54.8,0.085,3.6,15.9,0.154,18.4,21.8,"['EP', 'DOPO', 'BICP(15)']",15.0,1.7,0.002,0.1,0.6,0.007,0.7,0.6,j.compositesb.2020.108601_6_0
