,Samples,B/°C min ¹,T;/°C,Tp/°C,T / °C,Vectors,Ref
0,REEP/HDDM,5.0,55.6,87.2,120.8,"['REEP', 'HDDM']",j.eurpolymj.2021.110282_4_0
1,,10.0,59.7,101.1,138.6,[''],j.eurpolymj.2021.110282_4_0
2,,15.0,63.7,107.6,149.1,[''],j.eurpolymj.2021.110282_4_0
3,,20.0,72.0,115.2,155.9,[''],j.eurpolymj.2021.110282_4_0
4,DGEBA/HDDM,5.0,46.3,104.2,156.4,"['DGEBA', 'HDDM']",j.eurpolymj.2021.110282_4_0
5,,10.0,60.4,116.6,173.4,[''],j.eurpolymj.2021.110282_4_0
6,,15.0,71.3,123.7,179.4,[''],j.eurpolymj.2021.110282_4_0
7,,20.0,76.9,132.1,188.8,[''],j.eurpolymj.2021.110282_4_0
