,Samples,,Modulus (MPa),.1,Yield,Strength (),(MPa),Vectors,Modulus (MPa)_err,.1_err,Yield_err,Strength ()_err,(MPa)_err,Ref
0,Strain Rate (/s),0.00033,0.0,,,,,['StrainRate(/s)'],0.0013,0.0033,0.00033,0.0013,0.0033,j.compscitech.2016.10.030_12_0
1,E-0-CNT,207.8,450.2,521.5,9.8,16.7,20.5,"['E', '0', 'CNT']",13.0,1.0,1.3,0.8,1.0,j.compscitech.2016.10.030_12_0
2,E-1-CNT,522.7,616.2,714.8,18.6,25.7,29.8,"['E', '1', 'CNT']",34.0,3.0,1.4,1.8,1.5,j.compscitech.2016.10.030_12_0
