,Samples,BA-CHDMVG (wt%),jER828 (wt%),jER1001 (wt%),Vectors,Ref
0,(BA-CHDMVG)40-(jER1001)60,40.0,0.0,60.0,"['BA-CHDMVG(0.4)', 'jER1001(0.6)']",pj.2017.68_2_0
1,(BA-CHDMVG)20-(jER828)20-(jER1001)60,20.0,20.0,60.0,"['BA-CHDMVG(0.2)', 'jER828(0.2)', 'jER1001(0.6)']",pj.2017.68_2_0
2,(BA-CHDMVG)1o-(jER828)30-(jER1001)60,10.0,30.0,60.0,"['BA-CHDMVG(1)o', 'jER828(30)', 'jER1001(60)']",pj.2017.68_2_0
3,(BA-CHDMVG)5-(jER828)35-(jER1001)60,5.0,35.0,60.0,"['BA-CHDMVG5', 'jER828(35)', 'jER1001(60)']",pj.2017.68_2_0
