,Samples,TGDDM/DDS content (wt%),Toughener content (wt%),Vectors,Ref
0,REF,100.0,-,['REF'],j.compositesb.2016.06.076_3_0
1,+MAM,90.0,10.0,"['', 'MAM']",j.compositesb.2016.06.076_3_0
2,+CTBN,90.0,10.0,"['', 'CTBN']",j.compositesb.2016.06.076_3_0
3,+PESOH,90.0,10.0,"['', 'PESOH']",j.compositesb.2016.06.076_3_0
4,+PKHH,90.0,10.0,"['', 'PKHH']",j.compositesb.2016.06.076_3_0
