,Samples,IDT (°C),Tmax (°C),Ed (kJ/mol),Vectors,Ref
0,ECO/BPH,351.0,395.0,128.0,"['ECO', 'BPH']",j.eurpolymj.2004.09.011_6_0
1,ECO/BQH,344.0,394.0,119.0,"['ECO', 'BQH']",j.eurpolymj.2004.09.011_6_0
