,Samples,PHRR (W/g),THR (kJ/g),Char yield (%),Vectors,Ref
0,EP,449.0,24.4,10.6,['EP'],j.cej.2014.01.106_4_0
1,Graphene/EP,285.0,20.3,15.3,"['Graphene', 'EP']",j.cej.2014.01.106_4_0
2,SnO2-graphene/EP,318.0,18.3,16.1,"['SnO(2)-graphene', 'EP']",j.cej.2014.01.106_4_0
3,Co304-graphene/EP,329.0,20.3,13.0,"['Co(304)-graphene', 'EP']",j.cej.2014.01.106_4_0
