,Samples,.1,EP,EP/9%BPS-BPP,Vectors,Ref
0,Kissinger and Crane eqe,E a,53.1,51.8,['KissingerandCraneeqe'],j.polymdegradstab.2016.11.023_6_0
1,,In Ab,9.3,9.4,[''],j.polymdegradstab.2016.11.023_6_0
2,,n°,0.88,0.88,[''],j.polymdegradstab.2016.11.023_6_0
3,Flynn-Wall-Ozawa eq f,E,57.4,56.0,"['Flynn', 'Wall', 'Ozawaeqf']",j.polymdegradstab.2016.11.023_6_0
