,Samples,DGEBA (g),DDM (g),FR (g),P (wt%),Si (wt%),Vectors,Ref
0,EP,100.0,25.3,-,-,-,['EP'],j.compositesb.2019.107481_3_0
1,4%DiDSi/EP,100.0,24.99,5.21,0.3,0.07,"['(0.04)DiDSi', 'EP']",j.compositesb.2019.107481_3_0
2,4%TriDSi/EP,100.0,24.97,5.21,0.32,0.05,"['(0.04)TriDSi', 'EP']",j.compositesb.2019.107481_3_0
3,4%TetraDSi/EP,100.0,24.95,5.21,0.33,0.04,"['(0.04)TetraDSi', 'EP']",j.compositesb.2019.107481_3_0
4,6%DiDSi/EP,100.0,24.82,7.97,0.45,0.1,"['(0.06)DiDSi', 'EP']",j.compositesb.2019.107481_3_0
5,6%TriDSi/EP,100.0,24.79,7.97,0.48,0.07,"['(0.06)TriDSi', 'EP']",j.compositesb.2019.107481_3_0
6,6%TetraDSi/EP,100.0,24.77,7.96,0.5,0.06,"['(0.06)TetraDSi', 'EP']",j.compositesb.2019.107481_3_0
