,Samples,Td5% (°C),"Tmax ""(°C)",Rmax b(% min-1),Cy800 c(%),Vectors,Ref
0,THMT-EP/DDS,394.0,411.0,0.201,44.8,"['THMT-EP', 'DDS']",j.cej.2020.126881_7_0
1,DGEBA/DDS,391.0,429.0,0.303,13.5,"['DGEBA', 'DDS']",j.cej.2020.126881_7_0
