,Samples,TTI (s),THR (MJ/m²),PHRR (kW/m²),Time PHRR (s),FIGRA (kW/m²s),TSR (m²/m²),TSP (m²),Peak SPR (m ² superscript(2),Residue (%),Vectors,TTI (s)_err,THR (MJ/m²)_err,PHRR (kW/m²)_err,Time PHRR (s)_err,TSR (m²/m²)_err,TSP (m²)_err,Peak SPR (m ² superscript(2)_err,Residue (%)_err,Ref
0,PEI/EP,45.0,45.0,1074.0,85.0,12.6,1480.0,14.8,0.29,17.0,"['PEI', 'EP']",4.0,3.0,75.0,4.0,93.0,0.9,0.02,1.0,j.polymdegradstab.2016.07.004_7_0
1,PEI-APP 10/EP,43.0,16.0,280.0,65.0,4.3,651.0,6.5,0.18,58.0,"['PEI-APP(10)', 'EP']",3.0,1.0,20.0,3.0,46.0,0.5,0.01,4.0,j.polymdegradstab.2016.07.004_7_0
2,PEI-APP 15/EP,39.0,11.0,281.0,60.0,4.7,436.0,4.4,0.16,65.0,"['PEI-APP(15)', 'EP']",3.0,1.0,22.0,3.0,26.0,0.3,0.01,3.0,j.polymdegradstab.2016.07.004_7_0
