,Samples,Nitrogen T5% (°C),Nitrogen Tmax (°C),Nitrogen Yc (%),Air T5% (°C),Air Tmax1 (C),Air Tmax2 (C),Air Y Superscript(c) (%),Vectors,Ref
0,PBI,237.0,-,24.3,-,-,-,-,['PBI'],j.polymdegradstab.2019.06.020_6_1
1,EP/DDS,384.0,411.0,18.6,308.0,332.0,507.0,0.8,"['EP', 'DDS']",j.polymdegradstab.2019.06.020_6_1
2,EP/DDS/PBI-0.25,359.0,396.0,21.9,304.0,324.0,536.0,1.9,"['EP', 'DDS', 'PBI(0.25)']",j.polymdegradstab.2019.06.020_6_1
3,EP/DDS/PBI-0.5,345.0,388.0,24.1,303.0,321.0,549.0,2.1,"['EP', 'DDS', 'PBI(0.5)']",j.polymdegradstab.2019.06.020_6_1
4,EP/DDS/PBI-0.75,339.0,382.0,26.2,302.0,319.0,550.0,6.5,"['EP', 'DDS', 'PBI(0.75)']",j.polymdegradstab.2019.06.020_6_1
5,EP/DDS/PBI-1.0,333.0,378.0,25.0,300.0,318.0,555.0,4.2,"['EP', 'DDS', 'PBI(1.0)']",j.polymdegradstab.2019.06.020_6_1
