,Samples,Tc,40 °C,50 °C,60 °C,70 °C,Vectors,40 °C_err,50 °C_err,60 °C_err,70 °C_err,Ref
0,DGEBA/TAPA,ac,0.65515,0.73969,0.83488,0.87579,"['DGEBA', 'TAPA']",6e-05,8e-05,7e-05,8e-05,j.cej.2012.01.134_9_0
1,,C,47.3,68.67,69.28,79.91,[''],0.1,0.25,0.23,0.32,j.cej.2012.01.134_9_0
2,,R2,0.0,0.0,0.0,0.0,[''],99398.0,98997.0,99388.0,99349.0,j.cej.2012.01.134_9_0
3,DGEBA/PDA,ac,0.58626,0.75005,0.89441,0.93113,"['DGEBA', 'PDA']",0.0001,7e-05,6e-05,7e-05,j.cej.2012.01.134_9_0
4,,C,72.92,73.42,92.25,128.39,[''],0.39,0.3,0.38,0.84,j.cej.2012.01.134_9_0
5,,R2,0.0,0.0,0.0,0.0,[''],98513.0,98718.0,99009.0,98442.0,j.cej.2012.01.134_9_0
