,Samples,WN (%),Wc (%),Ws (%),WOther (%),Carbonaceous char (%),Vectors,Ref
0,EP/MH,2.02,34.18,0.0,63.8,5.9,"['EP', 'MH']",j.polymdegradstab.2016.06.011_5_0
1,EP/B,3.12,75.28,0.57,21.03,17.8,['EP/B'],j.polymdegradstab.2016.06.011_5_0
2,EP/MH/B2,2.48,49.94,0.38,47.2,9.9,"['EP', 'MH', 'B(2)']",j.polymdegradstab.2016.06.011_5_0
