,Samples,E (30 °C) (MPa),Ve (mol/L),Tan Smax,Tg (°C),T1 (°C),Vectors,Ref
0,Pure EP,2540.0,1.549,0.6742,73.82,83.63,['EP'],j.compositesb.2018.12.028_8_0
1,E/Mt,2658.0,2.169,0.6275,76.99,87.92,"['E', 'Mt']",j.compositesb.2018.12.028_8_0
2,E/M-Mt(0.05:1),2841.0,2.223,0.5804,78.28,91.24,"['E(0.05)', 'M-Mt(1)']",j.compositesb.2018.12.028_8_0
3,E/M-Mt(0.1:1),3078.0,2.432,0.4437,83.97,98.21,"['E(0.1)', 'M-Mt(1)']",j.compositesb.2018.12.028_8_0
4,E/M-Mt(0.2:1),2936.0,2.267,0.4905,81.12,94.56,"['E(0.2)', 'M-Mt(1)']",j.compositesb.2018.12.028_8_0
