,Samples,Storage modulus (MPa),Storage modulus (30°C) (MPa),T/ C°C),Crosslink density/ (mol m-3),Vectors,Ref
0,EP,1545.0,22.5,159.0,2087.0,['EP'],j.cej.2020.125942_22_0
1,EP/3UiO66,1413.0,28.8,165.0,2635.0,"['EP', '(3)UiO66']",j.cej.2020.125942_22_0
2,EP/3UiO66-PDA-PBA,1580.0,33.4,166.0,3049.0,"['EP', '3UiO66-PDA-PBA']",j.cej.2020.125942_22_0
