,Samples,KH 10⁻² (mol/kg.kpa),C1 (kg.mol⁻¹),C2 -,Vectors,Ref
0,CNT-SD_DETASi,19.5,26.5,38.83,"['CNT', 'SD_DETASi']",j.cej.2021.128763_9_0
1,CNT-OH,-,-,-,"['CNT', 'OH']",j.cej.2021.128763_9_0
2,CNT-OH_DETASi,3.17,36.16,93.67,"['CNT', 'OH_DETASi']",j.cej.2021.128763_9_0
3,CNT-COOH,0.08,44.62,-,"['CNT', 'COOH']",j.cej.2021.128763_9_0
4,CNT- COOH DETASi,99.89,14.26,6.95,"['CNT', 'COOHDETASi']",j.cej.2021.128763_9_0
