,Samples,LOI (%),UL-94,,Vectors,Ref
0,,,Rating,Dripping,[''],j.polymdegradstab.2014.05.007_4_0
1,DGEBA/DDS,22.5,Unrated,Yes,"['DGEBA', 'DDS']",j.polymdegradstab.2014.05.007_4_0
2,6%TGIC-DOPO/DGEBA/DDS,33.3,Unrated,No,"['(0.06)TGIC-DOPO', 'DGEBA', 'DDS']",j.polymdegradstab.2014.05.007_4_0
3,8%TGIC-DOPO/DGEBA/DDS,34.3,V-1,No,"['(0.08)TGIC-DOPO', 'DGEBA', 'DDS']",j.polymdegradstab.2014.05.007_4_0
4,10%TGIC-DOPO/DGEBA/DDS,35.2,V-1,No,"['(0.1)TGIC-DOPO', 'DGEBA', 'DDS']",j.polymdegradstab.2014.05.007_4_0
5,12%TGIC-DOPO/DGEBA/DDS,33.3,V-0,No,"['(0.12)TGIC-DOPO', 'DGEBA', 'DDS']",j.polymdegradstab.2014.05.007_4_0
