,Samples,LOI (%),UL-94,Dripping,Vectors,Ref
0,EP,22.8,No Rating,YES,['EP'],j.compositesb.2020.108228_5_0
1,EP/7.5%TAP,30.8,V-0,NO,"['EP', '(0.075)TAP']",j.compositesb.2020.108228_5_0
2,EP/10%TAP,31.5,V-0,NO,"['EP', '(0.1)TAP']",j.compositesb.2020.108228_5_0
3,EP/12.5%TAP,31.3,V-0,NO,"['EP', '(0.125)TAP']",j.compositesb.2020.108228_5_0
