,Samples,Loading (wt%),Tg (°C),Crosslink density (v),Molecular weight b/w crosslinks (M),Vectors,Ref
0,GO,0.0,168.0,3820.962,0.0001,['GO'],j.matchemphys.2020.122930_7_0
1,,0.1,190.0,1982.293,0.0002,[''],j.matchemphys.2020.122930_7_0
2,,0.3,170.0,2444.297,0.0002,[''],j.matchemphys.2020.122930_7_0
3,,0.5,184.0,1528.529,0.0003,[''],j.matchemphys.2020.122930_7_0
4,GO-g-,0.0,168.0,3820.962,0.0001,"['GO', 'g', '']",j.matchemphys.2020.122930_7_0
5,TBCP,0.1,200.0,2032.927,4e-05,['TBCP'],j.matchemphys.2020.122930_7_0
6,,0.3,185.0,2505.862,0.0005,[''],j.matchemphys.2020.122930_7_0
7,,0.5,185.0,2052.715,0.0009,[''],j.matchemphys.2020.122930_7_0
