,Samples,G' (25 °C) (GPa),Tg (°C),Vectors,Ref
0,TGK/RC,1.71,140.0,"['TGK', 'RC']",j.eurpolymj.2015.06.025_8_0
1,TGK/PPD,0.71,122.0,"['TGK', 'PPD']",j.eurpolymj.2015.06.025_8_0
2,DGEBA/PPD,1.58,90.0,"['DGEBA', 'PPD']",j.eurpolymj.2015.06.025_8_0
