,Samples,P%³,LOI (%),UL-94,,.1,.2,Vectors,Ref
0,,,,3.2 mm,,1.6 mm,,[''],j.cej.2017.12.086_7_1
1,,,,b t1/t2,Ratings,t1/t2,Ratings,[''],j.cej.2017.12.086_7_1
2,7.5% MZ/EP,-,21.0,1 min/-,NR,-,-,"['(0.075)MZ', 'EP']",j.cej.2017.12.086_7_1
3,7.5% DPIPP/EP,0.77,27.5,> 1 min/-,NR,-,-,"['(0.075)DPIPP', 'EP']",j.cej.2017.12.086_7_1
4,15% DPIPP/EP,1.55,31.5,2s/1: S,V-0,13s/9s,V-1,"['(0.15)DPIPP', 'EP']",j.cej.2017.12.086_7_1
5,7.5% DPPIO/EP,0.86,33.0,> 1min/-,NR,-,-,"['(0.075)DPPIO', 'EP']",j.cej.2017.12.086_7_1
6,15% DPPIO/EP,1.72,38.0,2 s/ls,V-0,4 s/3s,V-0,"['(0.15)DPPIO', 'EP']",j.cej.2017.12.086_7_1
