,Samples,TTI (s),PHRR (kW/m²),EHC (MJ/kg),THR (MJ/m²),TSP (m²),COY (kg/kg),CO₂Y (kg/kg),R600s (wt%),Vectors,Ref
0,EP,56.0,1420.0,29.9,144.0,52.2,0.13,2.51,7.7,['EP'],j.compositesb.2019.107481_7_0
1,6%DiDSi/EP,55.0,907.0,22.6,101.0,48.8,0.13,1.76,14.1,"['(0.06)DiDSi', 'EP']",j.compositesb.2019.107481_7_0
2,6%TriDSi/EP,58.0,810.0,21.4,90.0,43.0,0.12,1.7,13.2,"['(0.06)TriDSi', 'EP']",j.compositesb.2019.107481_7_0
3,6%TetraDSi/EP,57.0,776.0,19.9,83.0,45.5,0.11,1.63,13.7,"['(0.06)TetraDSi', 'EP']",j.compositesb.2019.107481_7_0
