,Samples,Tg g(°)),Sigma (MPa),E (%),Emax (%),Vectors,Sigma (MPa)_err,E (%)_err,Emax (%)_err,Ref
0,DGEBA/3DCM,174.9,91.4,6.4,39.1,"['DGEBA', '3DCM']",0.7,0.3,0.3,j.ijadhadh.2016.02.011_4_0
1,DGEBA/3DCMb,154.2,87.6,7.2,40.9,"['DGEBA', '3DCM']",0.4,0.2,0.2,j.ijadhadh.2016.02.011_4_0
2,DGEBA/3DCM°,149.7,81.6,7.9,41.0,"['DGEBA', '3DCM']",0.5,0.3,0.3,j.ijadhadh.2016.02.011_4_0
3,DGEBA/3DCM,142.3,80.4,8.4,41.4,"['DGEBA', '3DCM']",0.4,0.1,0.1,j.ijadhadh.2016.02.011_4_0
