,Samples,MSa,Efficiency (%),pHt,Mw (x105),PDId,Vectors,Ref
0,HES,-,-,-,2.69,5.15,['HES'],j.carbpol.2014.08.043_4_0
1,DP-TAS0.25,0.25,85.3,-,2.64,4.03,"['DP', 'TAS(0.25)']",j.carbpol.2014.08.043_4_0
2,DP-TAS 0.43,0.43,81.5,10.16,2.13,3.44,"['DP', 'TAS(0.43)']",j.carbpol.2014.08.043_4_0
3,DP-TAS0.84,0.84,81.8,8.65,1.82,6.04,"['DP', 'TAS(0.84)']",j.carbpol.2014.08.043_4_0
4,DP-TAS 1.12,1.12,76.4,,2.95,1.27,"['DP', 'TAS(1.12)']",j.carbpol.2014.08.043_4_0
5,DB-TAS 0.26,0.26,86.2,10.09,2.06,3.48,"['DB', 'TAS(0.26)']",j.carbpol.2014.08.043_4_0
6,DB-TAS 0.45,0.45,89.5,9.63,1.86,3.11,"['DB', 'TAS(0.45)']",j.carbpol.2014.08.043_4_0
7,DB-TAS0.82,0.82,82.1,9.32,1.51,2.93,"['DB', 'TAS(0.82)']",j.carbpol.2014.08.043_4_0
8,DB-TAS 1.20,1.2,79.5,9.16,1.48,3.08,"['DB', 'TAS(1.20)']",j.carbpol.2014.08.043_4_0
