,Samples,B (°C/min),Tonset (°C),Tep (°C),(J/g),Mean (J/g),Vectors,Mean (J/g)_err,Ref
0,DGEBA/TAPA,5.0,60.8,89.5,505.7,,"['DGEBA', 'TAPA']",515.7,j.cej.2012.01.134_5_1
1,,10.0,70.9,101.6,522.5,,[''],7.1,j.cej.2012.01.134_5_1
2,,15.0,77.7,109.5,516.7,,[''],,j.cej.2012.01.134_5_1
3,,20.0,81.9,114.5,517.7,,[''],,j.cej.2012.01.134_5_1
4,DGEBA/PDA,5.0,60.4,88.5,488.6,,"['DGEBA', 'PDA']",504.1,j.cej.2012.01.134_5_1
5,,10.0,70.3,100.7,515.0,,[''],13.1,j.cej.2012.01.134_5_1
6,,15.0,76.4,108.1,514.8,,[''],,j.cej.2012.01.134_5_1
7,,20.0,80.1,113.6,497.9,,[''],,j.cej.2012.01.134_5_1
