,Samples,DGEBA (g),DDM (g),PCTP (g),PCTP phr,content (wt%),Vectors,Ref
0,EP,100.0,25.74,0.0,0.0,0.0,['EP'],j.cej.2019.123830_8_0
1,EP@PCTP-4,100.0,25.74,5.24,4.2,4.0,"['EP', 'PCTP(4)']",j.cej.2019.123830_8_0
2,EP@PCTP-6,100.0,25.74,8.03,6.4,6.0,"['EP', 'PCTP(6)']",j.cej.2019.123830_8_0
3,EP@PCTP-8,100.0,25.74,10.93,8.7,8.0,"['EP', 'PCTP(8)']",j.cej.2019.123830_8_0
