,Samples,UL-94,LOI (%),Vectors,LOI (%)_err,Ref
0,UPR,no rating,20.5,['UPR'],0.5,j.cej.2020.126650_7_0
1,UPR/TiO2,no rating,20.5,"['UPR', 'TiO(2)']",0.5,j.cej.2020.126650_7_0
2,UPR/Ti@LDH,no rating,21.5,"['UPR', 'Ti@LDH']",0.5,j.cej.2020.126650_7_0
3,UPR/Ti@LDH@Ni3,no rating,21.5,"['UPR', 'Ti@LDH@Ni(3)']",0.5,j.cej.2020.126650_7_0
