,Samples,T5% (°C N superscript (2),2) Air,Tmax (°C + N2,2).1 Air,Residues N superscript (2),(% + Air,1.0) at 700 °C,Vectors,Ref
0,Tetra-DOPO,184.0,175.0,221.0,222.0,8.3,10.1,,['Tetra-DOPO'],j.polymdegradstab.2021.109715_5_0
1,EP,369.0,367.0,381.0,378.0,14.0,0.6,,['EP'],j.polymdegradstab.2021.109715_5_0
2,EP/Tetra-DOPO-2.5,347.0,345.0,362.0,360.0,15.9,1.5,,"['EP', 'Tetra-DOPO(2.5)']",j.polymdegradstab.2021.109715_5_0
3,EP/Tetra-DOPO-5.0,335.0,336.0,350.0,349.0,16.2,2.5,,"['EP', 'Tetra-DOPO(5.0)']",j.polymdegradstab.2021.109715_5_0
