,Samples,Composition(phr),Content of Cured EPs,DOPO-BAPh (wt%) DOPO-BAPh,Content of P (wt%),Vectors,Ref
0,EP,100.0,0.0,0.0,0.0,['EP'],j.polymdegradstab.2021.109544_3_0
1,5DOPO-BAPh/EP,100.0,5.0,3.79,0.26,"['(5)DOPO-BAPh', 'EP']",j.polymdegradstab.2021.109544_3_0
2,10DOPO-BAPh/EP,100.0,10.0,7.29,0.5,"['(10)DOPO-BAPh', 'EP']",j.polymdegradstab.2021.109544_3_0
3,15DOPO-BAPh/EP,100.0,15.0,10.6,0.71,"['(15)DOPO-BAPh', 'EP']",j.polymdegradstab.2021.109544_3_0
4,20DOPO-BAPh/EP,100.0,20.0,13.6,0.91,"['(20)DOPO-BAPh', 'EP']",j.polymdegradstab.2021.109544_3_0
