,Samples,Cured epoxy resin (wt%),Content of DOPO- POSS (wt%),LOI (%),UL-94,t1 (s),t2 (s),Dripping,Vectors,Ref
0,DGEBA/PA650,100.0,0.0,20.0,NR,30.0,/,Yes,"['DGEBA', 'PA650']",j.polymdegradstab.2012.05.020_4_0
1,DGEBA/PA650/2.5 wt.% DOPO-POSS,97.5,2.5,21.5,NR,30.0,/,Yes,"['DGEBA', 'PA650', '(0.025)DOPO-POSS']",j.polymdegradstab.2012.05.020_4_0
2,DGEBA/PA650/5 wt.% DOPO-POSS,95.0,5.0,23.5,NR,30.0,/,Yes,"['DGEBA', 'PA650', '(0.05)DOPO-POSS']",j.polymdegradstab.2012.05.020_4_0
3,DGEBA/PA650/10 wt.% DOPO-POSS,90.0,10.0,25.9,V-1,14.0,15,No,"['DGEBA', 'PA650', '(0.1)DOPO-POSS']",j.polymdegradstab.2012.05.020_4_0
