,Samples,TTI (s),PHRR (kW/m²),THR (MJ/m²),COY (kg/kg),CO₂Y (kg/kg),Vectors,Ref
0,EP,45.0,855.0,112.0,0.07,1.82,['EP'],j.polymdegradstab.2012.10.005_6_0
1,EP/OPS,55.0,626.0,112.0,0.08,2.0,"['EP', 'OPS']",j.polymdegradstab.2012.10.005_6_0
2,EP/PPSQ,50.0,925.0,116.0,0.08,2.05,"['EP', 'PPSQ']",j.polymdegradstab.2012.10.005_6_0
3,EP/DOPO,54.0,686.0,96.0,0.13,1.7,"['EP', 'DOPO']",j.polymdegradstab.2012.10.005_6_0
4,EP/DOPO/ OPS,51.0,557.0,95.0,0.11,1.82,"['EP', 'DOPO', 'OPS']",j.polymdegradstab.2012.10.005_6_0
5,EP/DOPO/ PPSQ,49.0,895.0,100.0,0.11,1.84,"['EP', 'DOPO', 'PPSQ']",j.polymdegradstab.2012.10.005_6_0
