,Samples,Gel content (%)ª,Tg (°C)b,Vectors,Ref
0,DGEBA,100.0,223.0,['DGEBA'],j.eurpolymj.2009.10.023_5_0
1,DGEBA/CL 95:5,99.0,186.0,"['DGEBA', 'CL(95)', '(5)']",j.eurpolymj.2009.10.023_5_0
2,DGEBA/CL 92:8,100.0,166.0,"['DGEBA', 'CL(92)', '(8)']",j.eurpolymj.2009.10.023_5_0
3,DGEBA/CL 90:10,100.0,142.0,"['DGEBA', 'CL(90)', '(10)']",j.eurpolymj.2009.10.023_5_0
