,Samples,Epoxy group/(mmol/g),Total Amino group (mmol/g),Sec-amino group/(mmol/g),PGMA grafted percentage (%),Amine grafted percentage (%),Vectors,Ref
0,D301,-,4.58,-,-,-,['D301'],j.cej.2019.03.198_6_0
1,PGMA-D301,2.23,2.25,-,48.6,-,"['PGMA', 'D301']",j.cej.2019.03.198_6_0
2,ED-D301,0.13,6.7,2.23,-,94.4,"['ED', 'D301']",j.cej.2019.03.198_6_0
3,TE-D301,0.36,8.3,1.51,-,84.9,"['TE', 'D301']",j.cej.2019.03.198_6_0
4,DT-D301,0.15,9.04,4.53,-,93.8,"['DT', 'D301']",j.cej.2019.03.198_6_0
5,TP-D301,0.16,11.12,7.1,-,93.1,"['TP', 'D301']",j.cej.2019.03.198_6_0
6,PH-D301,0.17,13.28,9.19,-,93.7,"['PH', 'D301']",j.cej.2019.03.198_6_0
