,Samples,TTI (s),THR (MJ/m²),PHRR (kW/m²),MAHRE (kW/m²),Residue (%),p-COPR (g.s1),p-SEA (m².kg-1),TSP (m²),Vectors,Ref
0,5% MZ/EP,57.0,82.6,770.1,310.2,10.3,0.57,1280.0,23.8,"['(0.05)MZ', 'EP']",j.cej.2018.04.097_16_0
1,5%,65.0,65.8,617.5,239.4,15.1,1.26,1953.8,24.7,['(0.05)'],j.cej.2018.04.097_16_0
2,IDOP/EP 10%,67.0,64.2,586.5,222.6,15.3,0.92,2819.1,28.7,"['IDOP', 'EP(0.1)']",j.cej.2018.04.097_16_0
3,IDOP/EP 15%,68.0,51.2,485.6,191.2,19.6,0.95,3681.0,25.5,"['IDOP', 'EP(0.15)']",j.cej.2018.04.097_16_0
