,Samples,TTI (s),PHRR (kW/m²),THR (MJ/m²),TSR (m²/m²),TSP (m²),COY (kg/kg),EHC (MJ/kg),Char Residues (%),Vectors,TTI (s)_err,PHRR (kW/m²)_err,THR (MJ/m²)_err,TSR (m²/m²)_err,TSP (m²)_err,COY (kg/kg)_err,EHC (MJ/kg)_err,Char Residues (%)_err,Ref
0,EP,46.0,921.0,84.0,1820.0,18.2,0.087,20.1,0.06,['EP'],1.0,36.0,12.0,32.0,2.0,0.01,1.0,0.1,j.polymdegradstab.2021.109613_6_0
1,4PCOF-EP,40.0,807.0,84.0,1460.0,14.37,0.092,16.3,1.33,"['(4)PCOF', 'EP']",2.0,32.0,9.0,24.0,1.0,0.02,2.0,0.5,j.polymdegradstab.2021.109613_6_0
2,8PCOF-EP,29.0,339.0,99.0,1225.0,12.19,0.114,20.0,7.95,"['(8)PCOF', 'EP']",1.0,29.0,11.0,26.0,2.0,0.03,1.0,1.0,j.polymdegradstab.2021.109613_6_0
3,12PCOF-EP,28.0,194.0,26.0,1575.0,16.05,0.132,9.4,20.65,"['(12)PCOF', 'EP']",1.0,34.0,4.0,12.0,2.0,0.05,2.0,2.2,j.polymdegradstab.2021.109613_6_0
4,12COF-EP,27.0,641.0,115.0,1684.0,16.75,0.019,25.0,0.35,"['(12)COF', 'EP']",3.0,21.0,16.0,23.0,1.0,0.02,3.0,0.2,j.polymdegradstab.2021.109613_6_0
