,"Brand, composite resin type, abbreviation",Samples,Manufacturer,Vectors,Ref
0,TPH spectrum (hybrid) (TPH),"Matrix: bis-GMA adduct, bis-EMA, TEGDMA Filler: Ba-Al-B-Si glass (mean particle size 1 um, colloidal silica particle size 0.04 pm) 57 vol%, 77 wt%","Dentsply DeTrey GmbH, Konstanz, Germany","['Matrix:bis', 'GMAadduct,bis', 'EMA,TEGDMAFiller:Ba', 'Al', 'B', 'Siglass(meanparticlesize(0.01)um,colloidalsilicaparticlesize0.04pm)57vol,77']",j.ijadhadh.2013.12.018_2_0
1,Batch no: 604190E,,,[''],j.ijadhadh.2013.12.018_2_0
2,Charisma (microhybrid) (CHA) Batch no: 010513,"Matrix: bis-GMA, TEGDMA Filler: Ba-Al-B-F-Si glass (0.02-2 um), pyrogenic SiO2 (0.02-0.07 um) 61 vol%, 78 wt%","Heraeus Kulzer GmbH, Hanau, Germany","['Matrix:bis-GMA,TEGDMAFiller:Ba-Al-B-F-Siglass(0.02-2um),pyrogenicSiO2(0.02-0.07um)61vol%,78wt%']",j.ijadhadh.2013.12.018_2_0
3,Filtek Z250 (microhybrid) (Z250) Batch no: n14076Br,"Matrix: UDMA, bis-EMA6, TEGDMA Filler: ZrO/SiO2 (mean particle size 0.6) 60 vol%, 82 wt%","3 M ESPE AG, Seefeld, Germany","['Matrix:UDMA,bis', 'EMA6,TEGDMAFiller:ZrO/SiO2(meanparticlesize0.6)60vol%,82wt%']",j.ijadhadh.2013.12.018_2_0
4,Adper Single Bond Plus (Intermediate adhesive resin) (IAR),"Matrix: bis-GMA, HEMA, dimethacrylates, ethanol, water, photoinitiator, methacrylate functional copolymer of polyacrylic and polyitaconic acids","3M ESPE AG, Seefeld, Germany","['Matrix:bis', 'GMA,HEMA,dimethacrylates,ethanol,water,photoinitiator,methacrylatefunctionalcopolymerofpolyacrylicandpolyitaconicacids']",j.ijadhadh.2013.12.018_2_0
5,Batch no: 340867BR,"Filler: Nanofillers (5 nm in diameter, 10 wt% spherical silica particles)",,"['Filler:Nanofillers((0.05)nmindiameter,10sphericalsilicaparticles)']",j.ijadhadh.2013.12.018_2_0
