,Samples,Tg (°C),"N superscript(2) atmosphere Td,1% ( C)",N superscript(2) atmosphere MLRmax (%-min 1),N superscript(2) atmosphere R700 C (wt%),Air atmosphere Td1% (°C),Air atmosphere MLRmax (%.min 1),Air atmosphere R700 C (wt%),Air atmosphere R800 C (wt%,Vectors,Ref
0,EP,166.0,379.0,48.8,16.0,348.0,45.4,8.4,0.4,['EP'],j.compositesb.2019.107481_9_0
1,6%DiDSi/EP,167.0,375.0,40.2,19.3,357.0,38.1,14.8,5.1,"['(0.06)DiDSi', 'EP']",j.compositesb.2019.107481_9_0
2,6%TriDSi/EP,167.0,373.0,35.0,20.2,364.0,37.8,13.8,5.3,"['(0.06)TriDSi', 'EP']",j.compositesb.2019.107481_9_0
3,6%TetraDSi/EP,168.0,375.0,35.2,20.1,364.0,37.0,13.2,4.9,"['(0.06)TetraDSi', 'EP']",j.compositesb.2019.107481_9_0
