,Samples,C-C area (%),C-O area (%),O-C.0 area (%),Cox / C,Vectors,Ref
0,EP,60.5,27.0,12.5,0.65,['EP'],j.compositesb.2020.107961_5_0
1,EP/5 wt% T7-Ph- POSS,61.5,25.6,12.9,0.63,"['EP', '(0.05)T7-Ph-POSS']",j.compositesb.2020.107961_5_0
2,EP/5 wt% Na-Ph- POSS,65.9,22.2,11.9,0.52,"['EP', '(0.05)Na-Ph-POSS']",j.compositesb.2020.107961_5_0
