,Samples,Eat (kJ/mol),(kJ/mol),A1 (x108 min-1,A2 (x106 min-1,Vectors,Eat (kJ/mol)_err,(kJ/mol)_err,A1 (x108 min-1_err,A2 (x106 min-1_err,Ref
0,DGEBA/TAPA,61.8,57.2,1.36,86.5,"['DGEBA', 'TAPA']",3.1,3.1,0.08,5.4,j.cej.2012.01.134_7_0
1,DGEBA/PDA,70.0,47.9,25.1,3.18,"['DGEBA', 'PDA']",4.3,1.6,1.9,0.12,j.cej.2012.01.134_7_0
