,Samples,E (30°C) (Mpa),E'so MPa,E'140 MPa,E (Tg+50K) (Mpa),Tg (°C),tan 8 in Tg -,ve (mol.m-3).10³,Vectors,Ref
0,EP,1767.0,11.0,7.0,6.3,70.6,0.684,0.6,['EP'],j.polymdegradstab.2020.109292_7_1
1,20APP,2257.0,19.0,14.0,13.3,69.2,0.714,1.4,['(20)APP'],j.polymdegradstab.2020.109292_7_1
2,20LHP,2262.0,21.0,8.0,8.4,71.1,0.741,0.9,['(20)LHP'],j.polymdegradstab.2020.109292_7_1
3,20HS,2298.0,23.0,19.0,17.2,69.3,0.684,1.8,['(20)HS'],j.polymdegradstab.2020.109292_7_1
4,15HS/5LHP,2474.0,23.0,15.0,14.7,69.3,0.669,1.5,"['(15)HS', '(5)LHP']",j.polymdegradstab.2020.109292_7_1
5,10HS/10LHP,2214.0,19.0,11.0,11.3,68.9,0.693,1.2,"['(10)HS', '(10)LHP']",j.polymdegradstab.2020.109292_7_1
6,5HS/15LHP,2120.0,19.0,10.0,9.9,68.4,0.681,1.0,"['(5)HS', '(15)LHP']",j.polymdegradstab.2020.109292_7_1
