,Samples,Tensile strength (MPa),Tensile modulus (GPa),Tensile strain (%),Vectors,Tensile strength (MPa)_err,Tensile modulus (GPa)_err,Tensile strain (%)_err,Ref
0,REEP/MeHHPA,73.5,3.0,3.4,"['REEP', 'MeHHPA']",3.9,0.1,0.3,j.cej.2019.123124_4_0
1,DGEBA/MeHHPA,59.1,2.8,3.3,"['DGEBA', 'MeHHPA']",0.7,0.3,0.8,j.cej.2019.123124_4_0
