,Samples,Time PHRR (s),PHRR (kW/m²),THR (MJ/m²),PSPR (m²/s),TSR (m²/m²),MARHE (kW/m²),Vectors,Ref
0,EP,125.0,1915.3,107.6,0.48,23.6,667.4,['EP'],j.cej.2016.10.100_42_0
1,EP/SiO2,133.0,1776.9,95.6,0.37,21.6,614.8,"['EP', 'SiO2']",j.cej.2016.10.100_42_0
2,EP/SiO2@PZM,135.0,1363.4,86.8,0.35,17.7,564.2,"['EP', 'SiO2']",j.cej.2016.10.100_42_0
3,EP/SiO2@PZM@Cul,125.0,1289.3,78.0,0.27,16.6,494.3,"['EP', 'SiO2']",j.cej.2016.10.100_42_0
4,EP/SiO2@PZM@Cu2,130.0,1188.8,73.9,0.25,13.7,479.9,"['EP', 'SiO(2)@PZM@Cu(2)']",j.cej.2016.10.100_42_0
