,Samples,TTI (s),PHRR (kW/m²),THR (MJ/m²),SPR (m ²/s),Time PHRR (s),FIGRA (kW/m²s),Vectors,TTI (s)_err,PHRR (kW/m²)_err,THR (MJ/m²)_err,SPR (m ²/s)_err,Time PHRR (s)_err,Ref
0,EP,28.0,1725.0,78.2,0.47,54.0,31.9,['EP'],1.0,33.0,1.4,0.05,2.0,j.compositesb.2017.05.024_33_0
1,EP/PiP-DOPO,24.0,1160.0,54.4,0.35,50.0,23.2,"['EP', 'PiP-DOPO']",2.0,15.0,1.1,0.04,2.0,j.compositesb.2017.05.024_33_0
2,EP/PD-rGO5,25.0,1042.0,49.3,0.31,52.0,20.0,"['EP', 'PD-rGO5']",1.0,27.0,2.3,0.03,1.0,j.compositesb.2017.05.024_33_0
3,EP/PD-rGO10,24.0,821.0,40.5,0.32,53.0,15.5,"['EP', 'PD-rGO(10)']",2.0,19.0,1.9,0.03,3.0,j.compositesb.2017.05.024_33_0
