,Samples,TTI (s),PHRR (kW/m²),THR (MJ/m²),TSP (m²),av-CO (kg-kg-1),CO₂ (kg/kg),Residue (wt%),Vectors,Ref
0,EP,136.0,847.6,106.7,33.7,0.0498,1.0763,10.8,['EP'],j.cej.2019.123830_17_0
1,EP@PCTP-4,106.0,378.1,72.9,29.5,0.0602,1.0557,22.7,"['EP', 'PCTP(4)']",j.cej.2019.123830_17_0
2,EP@PCTP-6,191.0,249.3,40.3,25.1,0.0443,0.7022,25.2,"['EP', 'PCTP(6)']",j.cej.2019.123830_17_0
3,EP@PCTP-8,192.0,227.1,33.3,19.4,0.0409,0.6135,28.5,"['EP', 'PCTP(8)']",j.cej.2019.123830_17_0
