,Samples,DGEBA (g),DDS (g),DPO-PHE (g),DOPO-PHE (g),P (wt%),Vectors,Ref
0,EP/P-0,100.0,28.55,-,-,0.0,"['EP', 'P-0']",j.polymdegradstab.2018.08.007_9_0
1,EP/DPO-PHE-P-0.3,100.0,26.97,5.12,-,0.3,"['EP', 'DPO-PHE-P(0.3)']",j.polymdegradstab.2018.08.007_9_0
2,EP/DPO-PHE-P-0.5,100.0,25.86,8.69,-,0.5,"['EP', 'DPO-PHE-P(0.5)']",j.polymdegradstab.2018.08.007_9_0
3,EP/DPO-PHE-P-0.7,100.0,24.71,12.4,-,0.7,"['EP', 'DPO-PHE-P(0.7)']",j.polymdegradstab.2018.08.007_9_0
4,EP/DPO-PHE-P-0.9,100.0,23.25,16.31,-,0.9,"['EP', 'DPO-PHE-P(0.9)']",j.polymdegradstab.2018.08.007_9_0
5,EP/DOPO-PHE-P-0.3,100.0,26.96,-,5.3,0.3,"['EP', 'DOPO-PHE-P(0.3)']",j.polymdegradstab.2018.08.007_9_0
6,EP/DOPO-PHE-P-0.5,100.0,25.85,-,9.01,0.5,"['EP', 'DOPO-PHE-P(0.5)']",j.polymdegradstab.2018.08.007_9_0
7,EP/DOPO-PHE-P-0.7,100.0,24.7,-,12.87,0.7,"['EP', 'DOPO-PHE-P(0.7)']",j.polymdegradstab.2018.08.007_9_0
8,EP/DOPO-PHE-P-0.9,100.0,23.49,-,16.89,0.9,"['EP', 'DOPO-PHE-P(0.9)']",j.polymdegradstab.2018.08.007_9_0
