,Samples,Capacity(mg/g),Reference,Vectors,Ref
0,Bi15/Al-DMAPS,251.3,This work,"['Bi(15)', 'Al-DMAPS']",j.cej.2020.128277_7_0
1,Bi2O2.33,284.9,[35],['Bi(2)O2.33'],j.cej.2020.128277_7_0
2,Bi2O3/LDH,101.9,[36],"['Bi(2)O3', 'LDH']",j.cej.2020.128277_7_0
3,Bi-GO,230.0,[15],['Bi-GO'],j.cej.2020.128277_7_0
