,,Brand,Samples,Vectors,Ref
0,Substrate,artBloc Temp,PMMA unfilled,['PMMAun'],j.ijadhadh.2018.04.009_2_0
1,,exp. CAD/CAM composite,Polymeric composite with inorganic fillers,['Polymericcompositewithinorganicfillers'],j.ijadhadh.2018.04.009_2_0
2,Adhesive system,Monobond Plus,"Silane methacrylate, phosphoric acid methacrylate, sulfide methacrylate in an alcoholic solvent","['Silanemethacrylate,phosphoricacidmethacrylate,sulfidemethacrylateinanalcoholicsolvent']",j.ijadhadh.2018.04.009_2_0
3,,Heliobond visio.link,"Bis-GMA, TEGDMA, initiators, stabilizers MMA, PETIA, photoinitiator","['Bis', 'GMA,TEGDMA,initiators,stabilizersMMA,PETIA,photoinitiator']",j.ijadhadh.2018.04.009_2_0
4,,Ambarino P60,DMA based on phosphor acidesters and phosphon acidesters,['DMAbasedonphosphoracidestersandphosphonacidesters'],j.ijadhadh.2018.04.009_2_0
5,,Exp. VP connect,MMA,['MMA'],j.ijadhadh.2018.04.009_2_0
6,Resin composite cement,Clearfil SA Cement,"Paste A: MDP, Bis-GMA, TEGDMA, DMA, Ba-Al fluorosilicate glass, SiO2, benzoyl peroxide, initiators Paste B: Bis-GMA, DMA, Ba-Al fluorosilicate glass, SiO2, pigments","['PasteA:MDP,Bis', 'GMA,TEGDMA,DMA,Ba', 'SiO2', 'GMA,DMA,Ba', 'SiO2']",j.ijadhadh.2018.04.009_2_0
7,,Variolink II,"Bis-GMA, TEGDMA, UDMA, benzoyl peroxide, inorganic fillers, ytterbium trifluoride, Ba-Al fluorosilicate glass, spheroid mixed oxide, initiators, stabilizers, pigments","['Bis', 'GMA,TEGDMA,UDMA,benzoylperoxide,inorganicfillers,ytterbiumtrifluoride,Ba', 'Alfluorosilicateglass,spheroidmixedoxide,initiators,stabilizers,pigments']",j.ijadhadh.2018.04.009_2_0
